,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night
Baseline,-0.009831327519271743,-0.009994747293708419,-0.07698116988895153,-0.020945575595723076
Albedo Management,-0.006065870421791562,-0.007950751427906362,-0.06822844591948414,-0.019376759304895966
50% Afforestation,-0.004639141798273918,-0.008164120422776705,-0.034254780609967915,-0.015718605914928872
100% Afforestation,-0.0007659385431852266,-0.004104197791401584,-0.05970912537264803,-0.006925574987807241
Albedo Management + 50% Afforestation,-0.0025857983807391367,-0.007127189180782565,-0.04030454856180075,-0.022396768430692212
Albedo Management + 100% Afforestation,0.00546456333731725,-0.00739762265426909,-0.060498659868451765,-0.009002310666065324
