,Arid,Snow,Temperate,Tropical
Baseline,-0.012049618166757405,-0.03485875959493359,-0.017332262250918808,0.012115013257800946
Albedo Management,-0.010020833498822629,-0.027457684970500214,-0.01718237351280017,0.001270008177153182
50% Afforestation,-0.008677691581133433,-0.02264542629414334,-0.013815054990976412,0.0006134386637694074
100% Afforestation,-0.006198262164964717,-0.01163272761917531,-0.005897002914011673,0.010406425804116538
Albedo Management + 50% Afforestation,-0.008248651428434162,-0.031042557072728214,-0.020650177054469532,-0.004015328831890757
Albedo Management + 100% Afforestation,-0.005749352764594182,-0.008192577427982004,-0.009526781569638942,0.005979471020120067
