Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
88462,"Trenton, NJ",Temperate,False,0.5026636,0.040345777,-0.46231782,0.60031724,0.011402281,-0.58891493,4.9522533,0.45740956,-4.494844,1.3434534,-0.13668893,-1.4801424
89110,"Tuscaloosa, AL",Temperate,False,0.25965157,-0.116456345,-0.37610793,0.26891539,-0.09016794,-0.35908332,3.2552211,-1.6242434,-4.8794646,0.72031784,-0.32324728,-1.0435652
89263,"Twin Rivers--Hightstown, NJ",Temperate,False,0.14340565,0.33450928,0.19110364,0.086029,0.15351199,0.067482986,2.7123413,-0.09145408,-2.8037953,0.2928372,0.093589015,-0.1992482
89650,"Uniontown--Connellsville, PA",Temperate,False,0.14339587,-0.011212163,-0.15460804,0.19712502,-0.043646097,-0.24077111,2.5393045,-0.69525236,-3.234557,0.4386859,-0.1765091,-0.615195
89974,"Valdosta, GA",Temperate,False,0.23616555,0.035102773,-0.20106278,0.31014508,0.09626902,-0.21387607,3.2270663,-0.98495626,-4.212023,1.0312974,0.39961007,-0.6316874
90658,"Villas, NJ",Temperate,True,-0.0004335799,-0.016209366,-0.015775787,0.4041718,0.037954826,-0.36621696,-0.59152067,-0.10316974,0.48835093,1.0988736,-0.004325305,-1.1031989
90730,"Vineland, NJ",Temperate,True,0.3042919,-0.12143865,-0.42573056,0.34461966,-0.14657046,-0.49119014,3.2830243,-1.2260554,-4.50908,0.82699835,-0.25768477,-1.0846832
90892,"Virginia Beach, VA",Temperate,True,0.3010294,0.039445665,-0.26158375,0.35618755,0.23317258,-0.12301497,4.2888417,0.57653046,-3.7123113,1.0397861,0.6041531,-0.435633
91261,"Waldorf, MD",Temperate,True,0.11037868,0.04797993,-0.062398754,0.15810865,0.07343358,-0.08467507,-0.41878146,-0.39958513,0.019196332,0.7775644,-0.185267,-0.9628314
91783,"Warner Robins, GA",Temperate,False,0.23441598,-0.04956614,-0.28398213,0.14052823,-0.060857475,-0.2013857,1.9544237,-2.374856,-4.32928,0.6386543,-0.45369288,-1.0923471
92242,"Washington, DC--VA--MD",Temperate,True,0.39459372,0.045433417,-0.3491603,0.54347646,0.0941367,-0.44933975,3.4970384,1.3986418,-2.0983965,1.2074769,0.52598673,-0.6814901
93592,"Weirton--Steubenville, WV--OH--PA",Temperate,False,0.22798362,-0.24710438,-0.475088,0.41590136,-0.393579,-0.80948037,2.0490265,-2.3079205,-4.356947,0.6047611,-0.64233804,-1.2470992
94294,"Westminster--Eldersburg, MD",Temperate,False,-0.072256304,0.062404525,0.13466083,-0.077941835,-0.09236984,-0.014428005,0.10208723,-1.5605961,-1.6626834,-0.25599313,-0.32458165,-0.068588525
94726,"Wheeling, WV--OH",Temperate,False,0.28848338,-0.057475656,-0.34595904,0.32262596,-0.08415411,-0.40678006,1.0201812,-0.9951143,-2.0152955,0.61984575,-0.33631787,-0.95616364
95411,"Williamsburg, VA",Temperate,True,-0.10802416,-0.03843838,0.06958578,0.032966472,0.32393706,0.2909706,-0.6194247,-0.14935511,0.4700696,0.029587762,0.5847638,0.5551761
95833,"Wilmington, NC",Temperate,True,0.19271275,-0.06077349,-0.25348625,0.25469837,0.12700547,-0.1276929,3.3541193,0.041688696,-3.3124306,0.87865365,0.33601826,-0.5426354
96103,"Winchester, VA",Temperate,False,0.0967858,-0.13901778,-0.23580357,0.24196601,0.015537803,-0.22642821,2.890866,-1.636309,-4.527175,0.65841836,-0.31006968,-0.96848804
96670,"Winston-Salem, NC",Temperate,False,0.1705974,-0.012449646,-0.18304706,0.19057451,0.06717169,-0.12340282,2.7139332,-0.12260046,-2.8365338,0.7562113,0.02593891,-0.73027235
96697,"Winter Haven, FL",Temperate,False,0.05036889,-0.042035546,-0.09240444,-0.020443894,0.08592687,0.10637076,0.9365944,-0.77421916,-1.7108135,-0.19477716,-0.037458442,0.15731871
97750,"York, PA",Temperate,False,0.8284894,-0.042497247,-0.8709867,0.7426435,0.0024378728,-0.7402056,6.983715,-0.57854295,-7.562258,1.7557025,0.09798488,-1.6577176
97831,"Youngstown, OH--PA",Snow,False,0.36375743,-0.1772975,-0.54105496,0.21675451,-0.06839891,-0.28515342,3.5030901,-1.0336664,-4.5367565,0.79325306,-0.35759526,-1.1508484
98182,"Zephyrhills, FL",Temperate,False,0.093146816,0.015996698,-0.07715012,0.08925004,-0.08019708,-0.16944712,1.8742621,-0.008706361,-1.8829684,0.37218308,0.004081376,-0.36810172
631,"Aguadilla--Isabela--San Sebastián, PR",Tropical,True,0.17893685,0.3768745,0.19793765,0.11400601,0.37235552,0.2583495,-0.0946468,1.6112497,1.7058965,0.18170047,0.33346647,0.151766
970,"Albany--Schenectady, NY",Snow,False,0.63261735,0.054921925,-0.5776954,0.72702724,0.06373109,-0.66329616,5.0943246,-0.20555347,-5.299878,1.0622649,0.019282509,-1.0429825
1792,"Altoona, PA",Snow,False,0.34024033,0.08326347,-0.25697684,0.27329177,-0.029553587,-0.30284536,3.3631287,-0.14696488,-3.5100935,0.5842683,0.14569664,-0.43857163
3034,"Arecibo, PR",Tropical,True,0.13844317,0.2772413,0.13879812,0.19741249,0.4528598,0.2554473,-0.5130496,0.65630543,1.169355,0.13993907,0.7142755,0.5743364
5167,"Barnstable Town, MA",Temperate,True,0.095440745,-0.035604045,-0.13104479,0.22958955,0.14911312,-0.08047643,0.32617077,-1.1097395,-1.4359103,0.63542056,0.14985812,-0.48556244
7732,"Binghamton, NY--PA",Snow,False,0.67426705,-0.1630305,-0.83729756,0.5082792,-0.17342182,-0.681701,4.257064,-0.09377261,-4.3508363,1.1538066,0.091213614,-1.062593
9271,"Boston, MA--NH--RI",Snow,True,0.7881209,0.16803862,-0.6200823,0.6107452,0.17274833,-0.43799686,6.5981836,1.0025558,-5.595628,1.2052824,0.42956394,-0.7757185
11350,"Buffalo, NY",Snow,False,0.54688174,0.1178398,-0.42904192,0.5559413,0.07291445,-0.48302683,5.2875595,1.2921689,-3.9953907,1.45477,0.31927377,-1.1354961
15184,"Chambersburg, PA",Temperate,False,0.38567317,-0.22654301,-0.6122162,0.33637428,-0.060223393,-0.39659768,4.0123186,-1.4153914,-5.42771,0.6435628,0.2183514,-0.4252114
27118,"Elmira, NY",Snow,False,0.5894639,-0.4455204,-1.0349844,0.45322365,-0.28008622,-0.73330986,4.417431,-1.5509076,-5.9683385,1.178031,0.1299903,-1.0480406
28981,"Fajardo, PR",Tropical,True,0.27108788,0.21366885,-0.05741903,0.31605527,0.46688575,0.15083048,1.1752772,0.9114198,-0.26385742,0.57689023,1.0788305,0.50194025
30115,"Florida--Imbéry--Barceloneta, PR",Tropical,True,-0.08232916,-0.06250888,0.01982028,-0.048676558,-0.33301008,-0.28433353,-0.92052186,-0.65318877,0.2673331,-0.07182295,-0.5267415,-0.45491856
33598,"Glens Falls, NY",Snow,False,0.43469208,-0.07960588,-0.51429796,0.29080558,-0.066499524,-0.3573051,3.7568536,-0.9035217,-4.660375,0.953874,-0.0653703,-1.0192443
35866,"Guayama, PR",Tropical,True,0.30368558,0.27720636,-0.026479214,0.2493327,-0.05066537,-0.29999807,2.1324177,-0.43823215,-2.5706499,0.7517182,-0.045558766,-0.797277
36784,"Hanover, PA",Temperate,False,0.32155147,-0.035177335,-0.3567288,0.20769507,-0.12838781,-0.33608288,4.2566233,-0.61939126,-4.8760147,0.33886537,-0.5621989,-0.9010643
37081,"Harrisburg, PA",Temperate,False,0.38091072,0.03095685,-0.3499539,0.53261733,-0.0034927558,-0.5361101,3.1961665,0.6634851,-2.5326815,1.3450289,0.041360296,-1.3036686
37243,"Hartford, CT",Snow,False,0.80845153,0.15299943,-0.65545213,0.83044577,0.1021225,-0.7283233,5.830944,-0.01034167,-5.8412857,1.1564523,0.06751074,-1.0889416
41914,"Ithaca, NY",Snow,False,0.4042445,-0.17855412,-0.5827986,0.2969181,-0.2944903,-0.5914084,2.7821028,-1.4716004,-4.253703,-0.32852796,-0.17179371,0.15673424
43291,"Johnstown, PA",Snow,False,0.81022024,-0.3600415,-1.1702617,0.7627609,-0.47896296,-1.2417238,2.3940477,-0.49198225,-2.88603,0.9493719,-0.007220108,-0.95659196
43453,"Juana Díaz, PR",Tropical,True,-0.54161143,0.37018824,0.91179967,-0.21300831,0.44887516,0.6618835,-0.81944275,0.55396557,1.3734083,-0.24630153,0.44756538,0.6938669
45262,"Kingston, NY",Snow,False,0.40155855,-0.6150005,-1.016559,0.4891617,-0.5961042,-1.0852659,3.5546846,-1.958393,-5.5130777,0.8003564,-0.1962475,-0.9966039
49096,"Leominster--Fitchburg, MA",Snow,False,0.58371735,-0.23667696,-0.8203943,0.46968988,0.056277014,-0.41341287,3.3031855,-1.7330321,-5.0362177,0.87641287,0.12547487,-0.750938
53740,"Manchester, NH",Snow,False,0.7673801,-0.25023866,-1.0176188,0.6158112,-0.1330518,-0.74886304,7.1927233,-1.1717064,-8.364429,1.229019,-0.23237303,-1.461392
55738,"Mayagüez, PR",Tropical,True,0.12303218,0.42403916,0.30100697,0.49562943,0.5996239,0.10399449,-0.19663371,0.63192296,0.82855666,0.17550017,0.69541985,0.5199197
61165,"Nashua, NH--MA",Snow,False,0.3042486,-0.14519109,-0.4494397,0.45306712,0.14489788,-0.30816925,3.9035792,-0.994117,-4.8976965,1.011726,0.107415415,-0.9043106
61786,"New Bedford, MA",Temperate,True,0.65539354,-0.013159969,-0.66855353,0.647263,0.17030601,-0.47695696,6.093066,-1.282803,-7.3758693,0.9836492,0.39277285,-0.59087634
62407,"New Haven, CT",Temperate,True,0.6805718,-0.014247025,-0.6948188,0.83104634,-0.07719766,-0.908244,5.193825,-0.7245923,-5.918417,1.1866229,-0.021056771,-1.2076796
64135,"Norwich--New London, CT--RI",Temperate,True,0.35572693,-0.034701407,-0.39042833,0.16225122,0.206334,0.044082776,2.7201886,-1.0003949,-3.7205834,0.2921933,0.03181986,-0.26037344
69778,"Pittsfield, MA",Snow,False,0.28531322,-0.6365063,-0.92181957,0.25811574,-0.45810443,-0.71622014,1.4325476,-2.861442,-4.2939897,0.6737994,-0.32776368,-1.0015631
70642,"Ponce, PR",Tropical,True,0.36863977,0.34903544,-0.019604325,0.40389153,0.5004114,0.09651986,1.6819435,2.9983332,1.3163897,1.1302,0.71084243,-0.4193576
71506,"Portsmouth, NH--ME",Snow,True,0.032829236,0.03207149,-0.0007577464,-0.0005412421,0.22331342,0.22385466,0.03630449,0.44134218,0.4050377,0.031272553,0.050338946,0.019066393
72505,"Providence, RI--MA",Temperate,True,0.94513893,0.119169205,-0.8259697,0.66782093,0.37323958,-0.29458135,7.5040407,0.40993196,-7.0941086,1.4327807,0.36619514,-1.0665855
75664,"Rochester, NY",Snow,False,0.5026138,-0.03234324,-0.53495705,0.44664025,0.10827454,-0.3383657,5.5255585,-0.36039737,-5.885956,1.4845098,0.35871804,-1.1257918
78985,"San Germán--Cabo Rojo--Sabana Grande, PR",Tropical,True,0.12807365,0.09002227,-0.038051374,0.037418086,0.077612825,0.04019474,-0.101981446,1.7727118,1.8746932,0.0049470197,-0.25684282,-0.26178983
79093,"San Juan, PR",Tropical,True,0.07860413,0.81364715,0.73504305,0.112298094,1.3034974,1.1911993,-0.12858967,1.6511515,1.7797412,0.15866901,1.8297708,1.6711018
79633,"Saratoga Springs, NY",Snow,False,0.014115512,0.0035564604,-0.010559052,-0.184268,-0.14593035,0.038337648,0.9160733,-0.5767184,-1.4927917,-0.363451,-0.14274967,0.22070134
83926,"Springfield, MA--CT",Snow,False,0.5854865,-0.035223424,-0.6207099,0.7157473,0.028768126,-0.6869792,4.777351,-0.7923098,-5.5696607,1.3910778,-0.058216482,-1.4492942
84493,"State College, PA",Snow,False,0.34650978,-0.09602762,-0.4425374,0.30971506,-0.19879353,-0.50850856,3.3477528,0.19118772,-3.1565652,0.57684344,-0.0712229,-0.64806634
86302,"Syracuse, NY",Snow,False,0.56402624,-0.025900768,-0.589927,0.5595435,0.002337026,-0.55720645,5.205197,-0.07877701,-5.2839737,1.1402395,0.04026398,-1.0999755
89785,"Utica, NY",Snow,False,0.59075606,-0.35841548,-0.94917154,0.48775178,-0.35776842,-0.8455202,5.5580254,-1.9723729,-7.5303984,1.0902535,-0.25045082,-1.3407043
92485,"Waterbury, CT",Snow,False,0.61983854,-0.09110789,-0.71094644,0.52752995,-0.01726387,-0.54479384,4.9936857,-0.7379838,-5.7316694,0.79167724,0.11343871,-0.6782385
95455,"Williamsport, PA",Snow,False,0.5979738,-0.042676173,-0.64065,0.46986616,-0.057846002,-0.52771217,5.638812,0.10247779,-5.536334,0.8006158,-0.29614002,-1.0967557
97291,"Worcester, MA--CT",Snow,False,0.5863615,-0.08077955,-0.6671411,0.53715533,0.023340652,-0.5138147,4.7979193,-0.2198874,-5.0178065,1.1571765,0.1569283,-1.0002482
97561,"Yauco, PR",Tropical,True,0.25333962,0.45015794,0.19681832,0.2737702,0.42455944,0.15078923,-0.38477868,1.4190016,1.8037803,-0.1462807,0.51271075,0.65899146
