Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,-0.11276185,-0.10434564,0.008416206,0.37612897,0.11277783,-0.26335114,0.54543746,-0.018575018,-0.56401247,0.81012356,0.37008694,-0.44003662
955,"Albany, OR",Temperate,False,0.23539186,-0.75023776,-0.9856296,0.4824755,0.35911357,-0.123361915,0.60613424,-1.5537767,-2.159911,0.51340425,-0.04844589,-0.56185013
1171,"Albuquerque, NM",Arid,False,0.36323714,-0.24660668,-0.60984385,0.895947,0.72493416,-0.17101282,-0.0020193201,-1.0410011,-1.0389818,1.5476261,1.3154447,-0.23218143
1279,"Alexandria, LA",Temperate,False,-0.2168558,-0.18889382,0.02796197,0.18680191,-0.0672755,-0.2540774,0.84226763,-1.5533173,-2.395585,0.405514,-0.11965059,-0.5251646
1765,"Alton, IL--MO",Temperate,False,-0.10391676,-0.22547077,-0.12155401,0.33167154,0.20613207,-0.12553947,0.9186703,-0.812698,-1.7313683,0.8449531,-0.28555146,-1.1305046
1927,"Amarillo, TX",Arid,False,0.0097483955,0.055576235,0.04582784,0.39926237,0.5221906,0.1229282,-1.5832895,-0.40811568,1.1751738,0.53982073,0.8391996,0.29937887
2062,"Ames, IA",Snow,False,-0.2056996,0.0157483,0.22144789,0.42046577,0.29200417,-0.1284616,1.7632668,0.10078953,-1.6624773,0.7387743,0.70294136,-0.03583294
2305,"Anchorage, AK",Snow,True,-1.0203015,-0.09846154,0.92183995,0.6191709,0.27449512,-0.34467578,2.0114188,0.014834322,-1.9965845,1.4394373,0.5159364,-0.9235009
2386,"Anderson, IN",Snow,False,0.14767917,0.03584608,-0.11183308,0.2705428,0.11411956,-0.15642324,1.7110363,-0.78759533,-2.4986317,0.8451711,-0.20830666,-1.0534778
2683,"Antioch, CA",Temperate,True,-0.15101832,-0.19483377,-0.04381545,0.46260726,0.509374,0.046766758,2.6143036,1.06584,-1.5484636,1.883734,1.1629908,-0.7207432
2764,"Appleton, WI",Snow,False,0.24945323,-0.17979874,-0.42925197,0.2588419,0.14754853,-0.111293375,1.4066883,1.1058452,-0.30084312,0.9780506,0.69852275,-0.27952784
3196,"Arroyo Grande--Grover Beach, CA",Temperate,True,-0.2819744,-0.27440533,0.0075690746,0.59697837,0.24870169,-0.34827667,0.82830215,0.33289617,-0.49540597,1.9322159,0.30278516,-1.6294308
4384,"Austin, TX",Temperate,False,0.08643376,-0.067744896,-0.15417865,0.288672,0.27442813,-0.014243871,0.92560214,0.54079413,-0.384808,0.8725831,0.6649787,-0.20760441
4549,"Avondale--Goodyear, AZ",Arid,False,0.41955227,0.37905094,-0.040501326,0.83780146,0.3873443,-0.45045716,0.39412257,-0.08384516,-0.47796774,0.85729575,0.56964624,-0.2876495
