Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
77338,"St. Cloud, MN",Snow,False,0.071110345,0.06451547,-0.006594874,0.30236474,-0.1438002,-0.44616494,1.2354031,-2.485757,-3.7211602,0.16137303,-0.36330825,-0.52468127
77446,"St. George, UT",Arid,False,0.09392442,-0.067066066,-0.16099048,0.8261257,-0.7058911,-1.5320168,-0.23716196,-1.914489,-1.677327,0.7999831,0.07683481,-0.7231483
77743,"St. Joseph, MO--KS",Snow,False,0.16861014,-0.023800716,-0.19241086,0.23867448,-0.1278257,-0.3665002,1.8497467,-0.7697877,-2.6195345,0.5583625,-0.27108103,-0.8294435
77770,"St. Louis, MO--IL",Temperate,False,0.23325914,0.051949173,-0.18130997,0.30110955,0.19931689,-0.10179266,2.4720345,0.7234256,-1.7486088,0.8950796,0.41867366,-0.47640595
78229,"Salem, OR",Temperate,False,0.3155185,0.08804231,-0.22747618,0.2790265,0.12718837,-0.15183814,2.5561101,0.51593095,-2.0401793,0.81292796,0.22546849,-0.58745944
78310,"Salinas, CA",Temperate,True,0.4311086,0.028009221,-0.40309936,0.4353963,0.32835165,-0.10704467,4.0681796,1.9580702,-2.1101093,0.9868415,0.706639,-0.2802025
78499,"Salt Lake City--West Valley City, UT",Snow,False,0.56478786,-0.1834352,-0.74822307,0.6340973,0.5369712,-0.09712607,1.4519866,-0.2551004,-1.7070869,1.3562435,0.7114061,-0.6448374
78553,"San Angelo, TX",Temperate,False,0.24243405,0.21204898,-0.030385077,0.42156553,-0.2160173,-0.63758284,1.6735939,0.95858413,-0.71500975,0.5945715,-0.23898454,-0.833556
78580,"San Antonio, TX",Temperate,False,0.32682982,0.103631474,-0.22319835,0.3011358,0.17281064,-0.12832516,2.406962,1.1781099,-1.228852,0.8844797,0.4200668,-0.4644129
78661,"San Diego, CA",Arid,True,-0.46688205,-0.6225248,-0.15564275,0.53098506,0.3129495,-0.21803555,0.298705,-1.8241558,-2.122861,0.8888907,0.5469765,-0.34191418
78904,"San Francisco--Oakland, CA",Temperate,True,0.5524519,0.12615852,-0.42629337,0.6900264,0.42538133,-0.26464507,3.8617635,1.8545663,-2.0071971,1.2218723,0.64097375,-0.5808986
79039,"San Jose, CA",Temperate,False,1.235743,0.30390212,-0.9318409,0.65579474,0.6508384,-0.0049563646,3.3541112,2.0298371,-1.3242741,1.2571595,1.068383,-0.1887765
79147,"San Luis Obispo, CA",Temperate,True,0.3149882,0.3338818,0.0188936,0.36720693,0.14911897,-0.21808796,0.30084413,-1.8107518,-2.1115959,0.33156025,-0.09357638,-0.42513663
79201,"San Marcos, TX",Temperate,False,0.00042533275,0.13455741,0.13413207,0.16358024,-0.025274303,-0.18885455,-0.24236396,-0.6907855,-0.44842157,0.4574484,-0.44324744,-0.9006958
79282,"Santa Barbara, CA",Temperate,True,0.55244327,0.099388026,-0.45305523,0.59775627,0.08250701,-0.51524925,3.4917192,1.1176832,-2.374036,1.0510201,0.25015792,-0.8008622
