Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,-0.123313025,-0.10845239,0.0148606375,0.3763148,-0.058619484,-0.43493426,0.5589422,-0.12120368,-0.68014586,0.83576673,0.33719844,-0.4985683
955,"Albany, OR",Temperate,False,0.5382721,-0.32344046,-0.8617126,0.93250257,0.50254977,-0.4299528,2.1017704,-0.93728215,-3.0390525,0.70968735,1.3818909,0.67220354
1171,"Albuquerque, NM",Arid,False,0.30752337,-0.16836745,-0.47589082,0.85167307,0.51518434,-0.33648872,0.16399007,-0.55717856,-0.72116864,1.7216928,1.1982144,-0.5234784
1279,"Alexandria, LA",Temperate,False,-0.32757634,-0.21008238,0.11749396,0.11603673,0.13494658,0.018909857,1.1709168,-1.7387779,-2.9096947,0.55439913,0.11478357,-0.43961555
1765,"Alton, IL--MO",Temperate,False,-0.48358378,-0.14212772,0.34145606,0.3210681,0.17870311,-0.142365,-0.23926246,-1.1586211,-0.9193586,0.936259,-0.023091702,-0.95935065
1927,"Amarillo, TX",Arid,False,-1.0542471,-0.99056673,0.06368041,0.32753417,0.46476138,0.1372272,-0.90474635,-0.24806039,0.65668595,0.751991,0.8311093,0.07911831
2062,"Ames, IA",Snow,False,-0.7482637,-0.10109076,0.6471729,0.5022341,0.55675656,0.054522455,0.9263495,1.4426652,0.5163157,0.7922799,0.8195821,0.027302206
2305,"Anchorage, AK",Snow,True,0.46707612,0.15844536,-0.30863076,0.47438347,0.501757,0.027373552,3.6478992,-0.14765635,-3.7955556,1.0094509,0.36804318,-0.6414077
2386,"Anderson, IN",Snow,False,-0.4455069,-0.14823845,0.29726845,0.66847783,0.18279892,-0.4856789,0.9552545,-0.6559243,-1.6111789,1.1427118,-0.21005543,-1.3527672
2683,"Antioch, CA",Temperate,True,-0.003754951,0.38789767,0.3916526,0.7133574,0.57691616,-0.13644123,1.3703115,1.9547781,0.5844666,1.2624373,0.9631326,-0.29930472
2764,"Appleton, WI",Snow,False,-0.25572386,-0.3015593,-0.045835435,0.4290466,0.36929756,-0.059749037,1.6504678,0.6547791,-0.9956887,0.9906132,0.84958684,-0.14102638
3196,"Arroyo Grande--Grover Beach, CA",Temperate,True,-0.31315556,-0.7780003,-0.46484473,0.65929246,-0.11347235,-0.7727648,-0.606162,-2.5328486,-1.9266865,0.74739355,0.3050335,-0.44236004
4384,"Austin, TX",Temperate,False,-0.0017470294,-0.20922789,-0.20748086,0.29314974,0.23256655,-0.06058319,0.8961742,-0.014947351,-0.91112155,1.0791328,0.6958506,-0.38328218
4549,"Avondale--Goodyear, AZ",Arid,False,0.42640537,0.39852557,-0.027879804,0.82224965,0.42325306,-0.3989966,0.64599407,0.29492518,-0.35106888,0.79597384,0.6474902,-0.14848363
4681,"Bakersfield, CA",Arid,False,0.23941442,0.06025078,-0.17916363,0.42032307,0.4245841,0.004261017,0.7301685,0.7557261,0.025557578,1.2382431,0.983196,-0.25504708
4951,"Bangor, ME",Snow,False,0.3149367,-0.18010294,-0.49503964,0.56639683,-0.02171716,-0.58811396,2.105117,0.9911732,-1.1139438,0.59976727,0.48214102,-0.11762625
5680,"Baton Rouge, LA",Temperate,False,-0.3875459,-0.37361842,0.0139274895,0.17706832,0.12044537,-0.056622952,1.3392482,0.29920742,-1.0400407,0.8456268,0.39974046,-0.4458863
