Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
85087,-0.022122528081393627,-0.030102676661708898,-0.06606165141172071,-0.03674744264013054,"Stockton, CA",Temperate,True
85708,0.00032197328456683985,-0.002073820683013683,0.004181924702029086,-5.806633894032999e-05,"Sumter, SC",Temperate,False
86302,-0.017542936261415707,-0.016643527043273536,-0.1407414734565839,-0.031093619675410557,"Syracuse, NY",Snow,False
86464,-0.006162435631146155,-0.004477997183380673,-0.09177883379010263,-0.01325140121712938,"Tallahassee, FL",Temperate,False
86599,-0.002659198017885394,-0.000621407182699961,-0.06730988099230759,0.002285955587150217,"Tampa--St. Petersburg, FL",Temperate,True
87058,-0.008348357917326448,0.0001352490802674086,-0.12164407954899359,-0.005930773185522785,"Temple, TX",Temperate,False
87139,-0.02027854368316761,-0.030049241255297336,-0.22882219173868729,-0.084732695511185,"Terre Haute, IN",Temperate,False
87193,-0.01193106684510419,-0.007897350737248569,-0.12767025613668717,-0.035744203932218534,"Texarkana--Texarkana, TX--AR",Temperate,False
87220,-0.002350792868813257,-0.001446433149956851,-0.06434104938526644,-0.004998912808399396,"Texas City, TX",Temperate,True
87490,-0.01307284759582399,0.0015441318571282098,-0.02370196265375128,0.002572450021220135,"Thousand Oaks, CA",Temperate,True
87787,0.003955126280936819,0.006715869277582844,0.07648129044044755,0.020126445449271262,"Titusville, FL",Temperate,True
87868,-0.008989346513480864,-0.012410142349257216,-0.08378188552138907,-0.03545179453748913,"Toledo, OH--MI",Snow,False
88084,-0.010725812579846027,-0.01882935182258768,-0.12534842221804096,-0.06104115232381482,"Topeka, KS",Temperate,False
88273,-0.012393840908394025,-0.038091079021539714,-0.031210280201837103,-0.046964259826059576,"Tracy, CA",Temperate,False
88462,-0.01130618823319477,-0.01050800183361712,-0.09091042314903278,-0.02705009627488739,"Trenton, NJ",Temperate,False
88732,-0.01601564198559503,-0.01239585995289923,-0.040333332424978864,-0.011303975116940911,"Tucson, AZ",Arid,False
88948,-0.0034002304914919415,-0.0002186618846203378,-0.026361025539026913,-0.002426641622781055,"Tulsa, OK",Temperate,False
89083,-0.004364226854761655,0.033642376637865574,0.05419121862649765,0.05201840933429352,"Turlock, CA",Arid,False
89110,-0.015231139703715663,-0.01058520962477432,-0.1382105995105318,-0.031142268030969682,"Tuscaloosa, AL",Temperate,False
89263,0.0008092147922609019,0.000713595037495182,-0.033353343257590234,-0.002731972591414176,"Twin Rivers--Hightstown, NJ",Temperate,False
89326,-0.009503718407545906,-0.00607249113399319,-0.052942255783759905,-0.027092403047964682,"Tyler, TX",Temperate,False
89650,-0.00929572136717435,-0.011844897222004576,-0.14073326777063008,-0.036335083730834286,"Uniontown--Connellsville, PA",Temperate,False
89785,-0.02878715535233785,-0.02965284366286162,-0.21376828668256695,-0.043905794307335155,"Utica, NY",Snow,False
89866,-0.005157249608892569,-0.0032921028799159312,-0.022252617782058344,-0.00034041757231698046,"Vacaville, CA",Temperate,False
89974,-0.009009322852901616,-0.008745379640321358,-0.1508582238187099,-0.03221528433300731,"Valdosta, GA",Temperate,False
90028,-0.007899581597910817,-0.020000724396604427,-0.00857076182129768,-0.02488320847432657,"Vallejo, CA",Temperate,True
90514,-0.009015511790032642,-0.010672734982267602,-0.05982965100209988,-0.036040342940401454,"Victoria, TX",Temperate,False
90541,-0.008143812809051845,-0.01285874868146418,-0.030999867338405426,-0.016902606425742706,"Victorville--Hesperia, CA",Arid,False
90658,-0.003021773399370346,-0.01189431144203615,0.020009931511185148,-0.036667375576216577,"Villas, NJ",Temperate,True
90730,-0.01652255011039464,-0.02089252646791294,-0.16631128379447313,-0.04679839586174364,"Vineland, NJ",Temperate,True
90892,-0.0084808164613637,-0.0022313279356795954,-0.09337067455100588,-0.014174841200624401,"Virginia Beach, VA",Temperate,True
90946,0.0036587715661720414,0.009899872272432827,-0.011121983870184204,0.007787372289760814,"Visalia, CA",Arid,False
91027,-0.00920227396932255,-0.012403522062256837,-0.10323679024053374,-0.04264683720408711,"Waco, TX",Temperate,False
91261,-0.003166526608652676,-0.01015439424833171,-0.03480595221327138,-0.0480478417195627,"Waldorf, MD",Temperate,True
91405,-0.03814557495691683,-0.022338535947284344,-0.005846671004493699,-0.01890376356820734,"Walla Walla, WA--OR",Temperate,False
91783,-0.009852419666663602,-0.010466298262938312,-0.1279548003151418,-0.03674140295529258,"Warner Robins, GA",Temperate,False
92242,-0.003387569241308602,-0.0044171831450877455,-0.026379147507393563,-0.007757454869084295,"Washington, DC--VA--MD",Temperate,True
92485,-0.02521446027277183,-0.01700696061840242,-0.19045660942978107,-0.022625744576254332,"Waterbury, CT",Snow,False
92593,-0.014266567378134141,-0.02107046391441871,-0.1463851339787223,-0.07528083437129808,"Waterloo, IA",Snow,False
92674,-0.019969930686672594,-0.015167868538635354,-0.1843302148430443,-0.01930299945401839,"Watertown, NY",Snow,False
92890,-0.01818253064632733,-0.014560975545730022,-0.07965558115967918,-0.04055684492146709,"Watsonville, CA",Temperate,True
93025,-0.024887556694168044,-0.030805261702418506,-0.21243615605817662,-0.08745303784150625,"Wausau, WI",Snow,False
93592,-0.025679361680114927,-0.031122155093959863,-0.1878026425458453,-0.05811787429076809,"Weirton--Steubenville, WV--OH--PA",Temperate,False
93862,-0.06921547118061602,-0.04675644913581021,-0.09851611941071335,-0.06313318902579614,"Wenatchee, WA",Temperate,False
93916,-0.020242312818505026,-0.018829150154588973,-0.20975371892939254,-0.07978734691711499,"West Bend, WI",Snow,False
94294,0.004584228074716326,0.003881532380406746,-0.030056623057710025,-0.0010904975087197258,"Westminster--Eldersburg, MD",Temperate,False
94726,-0.018366375483227098,-0.019585674189482143,-0.08293359869859859,-0.03574145528078582,"Wheeling, WV--OH",Temperate,False
95077,-0.009690711048455446,-0.011848897760073196,-0.06449588938464841,-0.037380988490617564,"Wichita, KS",Temperate,False
95104,-0.006538891388100631,-0.012846484148755334,-0.03436153677639277,-0.03358759849704031,"Wichita Falls, TX",Temperate,False
95411,-0.0015119638013940757,0.005862918891373698,-0.016628097747492833,0.009611981909523355,"Williamsburg, VA",Temperate,True
95455,-0.03876509845394025,-0.031416934457529855,-0.22302621445149864,-0.03890972970284367,"Williamsport, PA",Snow,False
95833,-0.006532639971662585,-0.0013567331507086165,-0.06472053775039738,-0.003967427974386581,"Wilmington, NC",Temperate,True
96103,-0.008528718772188006,-0.01137642471654485,-0.09981952943500699,-0.033747507051927625,"Winchester, VA",Temperate,False
96670,-0.00292082812237223,-0.002113877288926495,-0.04302898865954836,-0.007552216085392404,"Winston-Salem, NC",Temperate,False
96697,-0.005263456831050344,0.005448985119948611,-0.0814694807549863,0.015314708153744893,"Winter Haven, FL",Temperate,False
96994,-0.01805759792181914,-0.025952349882179118,-0.09073061600094347,-0.03671727882934363,"Woodland, CA",Temperate,False
97291,-0.014448716959594505,-0.01179069342348334,-0.11648091619500082,-0.017131135023526523,"Worcester, MA--CT",Snow,False
97507,-0.0470718060705709,-0.04802280329973442,-0.10554168386036868,-0.06241647463408964,"Yakima, WA",Temperate,False
97561,0.001735553820203222,-0.014598020925513742,0.10494314601420536,0.01418000589069922,"Yauco, PR",Tropical,True
97750,-0.02976387797542792,-0.025987755705727658,-0.24651209180575892,-0.062401789042303625,"York, PA",Temperate,False
97831,-0.015666552912285758,-0.011005313331255944,-0.12294568908607764,-0.029813576087200564,"Youngstown, OH--PA",Snow,False
97939,-0.02827679269860571,-0.02064991900272666,-0.12875732682560456,-0.033826066511268224,"Yuba City, CA",Temperate,False
98020,0.0009753948301658832,0.005918901691641438,0.015525115654314981,0.005705264759401925,"Yuma, AZ--CA",Arid,False
98182,-0.0014873216503189016,-0.0022513702358919496,-0.0679608249413849,-0.006881365477920801,"Zephyrhills, FL",Temperate,False
